date,QBO_PC1,QBO_PC2
2022-09-01,2.34942,-1.46686
2022-10-01,1.59188,-1.79526
2022-11-01,0.7242,-1.87461
2022-12-01,0.332376,-1.77922
2023-01-01,0.12146,-1.77321
2023-02-01,0.152349,-1.69715
2023-03-01,-0.129728,-1.78865
2023-04-01,-0.942906,-1.84693
2023-05-01,-1.76982,-1.36067
2023-06-01,-2.46742,-0.603681
2023-07-01,-2.49716,0.0941998
2023-08-01,-2.31128,0.36005
2023-09-01,-2.23674,0.684741
2023-10-01,-2.21136,0.905545
2023-11-01,-1.31465,1.52128
2023-12-01,-0.137306,1.98937
2024-01-01,0.37216,2.12422
2024-02-01,0.860052,2.13815
2024-03-01,1.1328,1.99352
2024-04-01,2.47296,1.41597
2024-05-01,2.88828,0.104617
2024-06-01,3.0263,-0.469561
2024-07-01,2.64626,-0.972402
2024-08-01,1.75868,-1.33234
2024-09-01,0.708475,-1.62071
2024-10-01,-0.136537,-1.79668
2024-11-01,-0.891327,-1.90947
2024-12-01,-0.794241,-1.71442
