date,TP
2015-07-01,287.7393059052479
2015-08-01,258.7569550429222
2015-09-01,269.41931627886436
2015-10-01,263.4384348522811
2015-11-01,282.29549074349416
2015-12-01,266.1287548752771
2016-01-01,259.2748752052038
2016-02-01,252.63262644114982
2016-03-01,270.25371447515636
2016-04-01,300.0
2016-05-01,275.9893666685882
2016-06-01,288.2647648711308
2016-07-01,276.13607192218916
2016-08-01,285.1393074429554
2016-09-01,262.1523130836535
2016-10-01,246.4755498073108
2016-11-01,287.7831610054731
2016-12-01,278.5604747602613
2017-01-01,270.4831408355399
2017-02-01,245.03720824757707
2017-03-01,300.0
2017-04-01,300.0
2017-05-01,300.0
2017-06-01,299.8191888416055
2017-07-01,278.611130996673
2017-08-01,283.13949439954246
2017-09-01,256.1331332582369
2017-10-01,294.2285042577136
2017-11-01,300.0
2017-12-01,276.8641024016838
2018-01-01,263.1967897088102
2018-02-01,300.0
2018-03-01,300.0
2018-04-01,299.74326265092355
2018-05-01,263.4369907932255
2018-06-01,300.0
2018-07-01,245.19476715557076
2018-08-01,275.4318826309529
2018-09-01,288.0301201762501
2018-10-01,300.0
2018-11-01,249.67261645779078
2018-12-01,263.12820027912966
2019-01-01,300.0
2019-02-01,296.1806447848713
2019-03-01,300.0
2019-04-01,259.5541423436122
2019-05-01,300.0
2019-06-01,292.55745393055736
2019-07-01,286.44186670737895
2019-08-01,276.1979085519862
2019-09-01,283.00187709071974
2019-10-01,295.33236930997253
2019-11-01,274.46278708001887
2019-12-01,270.4032092970244
2020-01-01,260.04051303430276
2020-02-01,277.5006242209869
2020-03-01,300.0
2020-04-01,283.24211314241853
2020-05-01,300.0
2020-06-01,269.5030180241168
2020-07-01,297.18136965657015
2020-08-01,275.36666831432143
2020-09-01,272.010544930661
2020-10-01,278.7106288821473
2020-11-01,266.25522898958434
2020-12-01,238.8269436683486
2021-01-01,266.6807900503927
2021-02-01,297.14123353309157
2021-03-01,300.0
2021-04-01,300.0
2021-05-01,290.50054358136475
2021-06-01,267.36814939400625
2021-07-01,269.87792647544546
2021-08-01,280.5810688949234
2021-09-01,274.18635094120907
2021-10-01,267.4914726051304
2021-11-01,297.83230444867655
2021-12-01,277.05144381444325
2022-01-01,252.43279643298217
2022-02-01,275.61260801639463
2022-03-01,247.36702318528168
2022-04-01,296.2190593800382
2022-05-01,300.0
2022-06-01,281.4740047022675
2022-07-01,281.88559430337256
2022-08-01,259.7042181119143
2022-09-01,271.3351988926453
2022-10-01,280.51333820506267
2022-11-01,262.0800037743146
2022-12-01,288.91035700656323
2023-01-01,255.91150157656642
2023-02-01,240.83192406029167
2023-03-01,300.0
2023-04-01,282.7205853268889
2023-05-01,287.7107416610164
2023-06-01,281.6231592370103
2023-07-01,275.66872013227584
2023-08-01,266.8634192279694
2023-09-01,267.290218938148
2023-10-01,295.35683035391537
2023-11-01,269.36556415645583
2023-12-01,266.26913353915785
2024-01-01,263.4831898492558
2024-02-01,262.5836163791809
2024-03-01,280.19275174558254
2024-04-01,300.0
2024-05-01,274.73335947818464
2024-06-01,292.8884275317329
2024-07-01,268.49134723139025
2024-08-01,263.04697265058854
2024-09-01,260.00321563675254
2024-10-01,278.6533205546976
2024-11-01,272.0745670430975
2024-12-01,270.89216485318303
